customer_id,transaction_id,transaction_amount,payment_method,payment_status,failure_reason,attempt_number,previous_successful_payments,previous_failed_payments,customer_tenure_days,recovery_attempted,recovery_action,recovered,recovered_amount
CUST_00762,TXN_000182,14.31,netbanking,success,,1,8,0,973,False,,False,0.0
CUST_02487,TXN_000183,62.89,upi,success,,3,6,4,1370,False,,False,0.0
CUST_03481,TXN_000184,15.16,wallet,success,,3,5,3,655,False,,False,0.0
CUST_02478,TXN_000185,27.81,netbanking,success,,3,8,2,376,False,,False,0.0
CUST_02231,TXN_000186,26.15,card,success,,1,5,1,83,False,,False,0.0
CUST_00831,TXN_000187,44.1,card,failed,authentication_failed,2,16,0,521,False,,False,0.0
CUST_01905,TXN_000188,6.08,card,success,,1,5,3,288,False,,False,0.0
CUST_01194,TXN_000189,67.54,upi,success,,1,6,0,1460,False,,False,0.0
CUST_01508,TXN_000190,19.27,wallet,success,,2,5,1,1065,False,,False,0.0
CUST_03418,TXN_000191,87.88,upi,success,,3,11,1,670,False,,False,0.0
CUST_03151,TXN_000192,22.59,card,success,,1,9,1,821,False,,False,0.0
CUST_03036,TXN_000193,31.85,wallet,success,,3,11,2,739,False,,False,0.0
CUST_01809,TXN_000194,153.09,upi,success,,1,4,2,522,False,,False,0.0
CUST_04798,TXN_000195,26.53,card,success,,1,11,2,173,False,,False,0.0
CUST_00439,TXN_000196,89.22,wallet,success,,2,5,1,304,False,,False,0.0
CUST_01713,TXN_000197,34.17,card,success,,1,12,2,841,False,,False,0.0
CUST_00590,TXN_000198,46.17,upi,success,,1,5,1,1389,False,,False,0.0
CUST_01695,TXN_000199,35.02,upi,success,,3,7,2,226,False,,False,0.0
CUST_04809,TXN_000200,65.25,wallet,success,,3,4,2,685,False,,False,0.0
CUST_01831,TXN_000201,19.14,card,success,,1,8,1,1187,False,,False,0.0
CUST_04542,TXN_000202,15.07,card,success,,3,9,2,888,False,,False,0.0
CUST_02475,TXN_000203,19.87,upi,success,,1,5,0,665,False,,False,0.0
CUST_03498,TXN_000204,35.87,netbanking,success,,3,8,0,611,False,,False,0.0
CUST_02287,TXN_000205,27.75,card,success,,3,9,0,1392,False,,False,0.0
CUST_01330,TXN_000206,58.45,card,success,,1,11,1,193,False,,False,0.0
CUST_03821,TXN_000207,94.05,wallet,success,,1,8,1,25,False,,False,0.0
CUST_04845,TXN_000208,15.17,netbanking,success,,2,6,0,1369,False,,False,0.0
CUST_01318,TXN_000209,18.41,card,success,,3,6,2,713,False,,False,0.0
CUST_03893,TXN_000210,10.5,card,success,,1,7,2,694,False,,False,0.0
CUST_01306,TXN_000211,168.06,upi,failed,network_error,3,11,0,241,True,update_payment_method,False,0.0
CUST_03584,TXN_000212,42.26,upi,success,,2,11,1,1118,False,,False,0.0
CUST_03945,TXN_000213,48.61,upi,success,,3,10,3,769,False,,False,0.0
CUST_02247,TXN_000214,11.33,netbanking,success,,1,2,2,565,False,,False,0.0
CUST_03684,TXN_000215,33.08,card,failed,network_error,2,9,1,1266,True,update_payment_method,False,0.0
CUST_01361,TXN_000216,49.77,netbanking,success,,2,5,4,816,False,,False,0.0
CUST_00397,TXN_000217,27.05,card,success,,2,7,0,1370,False,,False,0.0
CUST_00482,TXN_000218,78.3,netbanking,failed,authentication_failed,1,4,2,564,False,,False,0.0
CUST_02235,TXN_000219,210.5,card,success,,2,11,3,70,False,,False,0.0
CUST_04513,TXN_000220,15.52,card,success,,3,10,1,245,False,,False,0.0
CUST_00638,TXN_000221,14.62,card,success,,3,9,1,96,False,,False,0.0
CUST_02279,TXN_000222,16.41,card,failed,insufficient_funds,1,7,1,592,True,update_payment_method,False,0.0
CUST_03520,TXN_000223,119.7,card,success,,1,8,1,645,False,,False,0.0
CUST_01012,TXN_000224,76.24,upi,success,,2,5,5,1304,False,,False,0.0
CUST_03608,TXN_000225,29.71,netbanking,success,,1,12,3,695,False,,False,0.0
CUST_01530,TXN_000226,34.1,upi,failed,expired_card,1,9,0,724,True,send_reminder,True,34.1
CUST_04043,TXN_000227,17.23,upi,success,,1,9,2,65,False,,False,0.0
CUST_02896,TXN_000228,67.49,card,success,,2,11,1,1110,False,,False,0.0
CUST_02734,TXN_000229,24.44,netbanking,success,,1,8,3,701,False,,False,0.0
CUST_00884,TXN_000230,26.89,card,success,,3,7,0,472,False,,False,0.0
CUST_02316,TXN_000231,53.89,card,success,,1,5,1,156,False,,False,0.0
CUST_04283,TXN_000232,28.49,card,success,,1,8,1,499,False,,False,0.0
CUST_00098,TXN_000233,27.44,card,success,,2,6,3,1125,False,,False,0.0
CUST_03792,TXN_000234,33.4,upi,success,,1,7,2,88,False,,False,0.0
CUST_02464,TXN_000235,62.57,card,success,,2,12,0,735,False,,False,0.0
CUST_03597,TXN_000236,123.62,card,success,,1,8,2,357,False,,False,0.0
CUST_03316,TXN_000237,52.9,netbanking,success,,3,6,0,661,False,,False,0.0
CUST_02161,TXN_000238,62.97,card,success,,2,12,3,633,False,,False,0.0
CUST_01544,TXN_000239,28.22,upi,success,,1,7,1,937,False,,False,0.0
CUST_03136,TXN_000240,18.8,card,success,,2,3,1,301,False,,False,0.0
CUST_00701,TXN_000241,55.88,netbanking,success,,2,8,4,555,False,,False,0.0
CUST_02920,TXN_000242,37.98,upi,success,,3,6,2,1350,False,,False,0.0
CUST_00474,TXN_000243,10.61,card,success,,3,5,2,1095,False,,False,0.0
CUST_03249,TXN_000244,25.47,netbanking,failed,card_declined,3,6,1,1003,True,offer_support,False,0.0
CUST_03144,TXN_000245,30.99,card,success,,3,8,1,836,False,,False,0.0
CUST_00423,TXN_000246,22.01,card,success,,1,7,1,603,False,,False,0.0
CUST_03787,TXN_000247,108.35,upi,success,,3,8,3,332,False,,False,0.0
CUST_02079,TXN_000248,48.61,upi,success,,3,6,1,876,False,,False,0.0
CUST_03934,TXN_000249,99.34,card,failed,network_error,1,7,1,1202,False,,False,0.0
CUST_00209,TXN_000250,40.88,card,success,,3,6,3,1281,False,,False,0.0
CUST_00898,TXN_000251,35.34,card,success,,2,14,0,445,False,,False,0.0
CUST_02470,TXN_000252,15.65,upi,failed,insufficient_funds,2,8,0,507,True,update_payment_method,True,15.65
CUST_00941,TXN_000253,33.43,wallet,success,,3,7,3,182,False,,False,0.0
CUST_01649,TXN_000254,33.46,card,success,,2,6,3,476,False,,False,0.0
CUST_03303,TXN_000255,11.09,wallet,failed,expired_card,3,13,1,630,True,send_reminder,True,11.09
CUST_00723,TXN_000256,21.51,card,success,,3,8,3,730,False,,False,0.0
CUST_03388,TXN_000257,25.57,netbanking,success,,2,4,0,673,False,,False,0.0
CUST_00517,TXN_000258,46.1,wallet,success,,2,11,0,1196,False,,False,0.0
CUST_00876,TXN_000259,47.9,upi,failed,expired_card,3,11,4,1379,True,offer_support,True,47.9
CUST_02938,TXN_000260,20.8,card,success,,2,5,1,1202,False,,False,0.0
CUST_03967,TXN_000261,48.19,card,success,,3,8,1,1048,False,,False,0.0
CUST_00853,TXN_000262,28.63,card,failed,insufficient_funds,1,6,2,665,True,update_payment_method,False,0.0
CUST_01500,TXN_000263,3.33,upi,success,,3,9,2,883,False,,False,0.0
CUST_04625,TXN_000264,22.47,wallet,success,,2,4,1,109,False,,False,0.0
CUST_04948,TXN_000265,78.51,card,success,,3,7,3,1320,False,,False,0.0
CUST_02905,TXN_000266,8.62,card,success,,2,8,0,1122,False,,False,0.0
CUST_02235,TXN_000267,36.24,card,success,,2,9,2,1361,False,,False,0.0
CUST_01735,TXN_000268,117.71,upi,failed,authentication_failed,1,7,2,1154,True,offer_support,True,117.71
CUST_03062,TXN_000269,18.02,upi,failed,expired_card,1,7,1,1441,True,update_payment_method,True,18.02
CUST_02954,TXN_000270,33.17,card,success,,3,5,2,9,False,,False,0.0
CUST_01474,TXN_000271,11.67,netbanking,success,,2,6,0,995,False,,False,0.0
CUST_00114,TXN_000272,121.73,card,success,,1,4,3,797,False,,False,0.0
CUST_00758,TXN_000273,30.98,upi,success,,1,7,1,1488,False,,False,0.0
CUST_04792,TXN_000274,34.37,card,success,,1,12,2,378,False,,False,0.0
CUST_02091,TXN_000275,97.85,card,success,,3,8,1,825,False,,False,0.0
CUST_02412,TXN_000276,56.21,upi,success,,2,5,0,82,False,,False,0.0
CUST_02336,TXN_000277,16.44,upi,success,,2,8,0,485,False,,False,0.0
CUST_03913,TXN_000278,19.73,card,failed,card_declined,3,1,1,1220,True,update_payment_method,True,19.73
CUST_00325,TXN_000279,49.2,netbanking,success,,2,11,1,1079,False,,False,0.0
CUST_00414,TXN_000280,20.1,upi,success,,1,6,1,1140,False,,False,0.0
CUST_01379,TXN_000281,6.09,card,success,,2,6,3,585,False,,False,0.0
CUST_02433,TXN_000282,31.73,wallet,success,,3,5,1,40,False,,False,0.0
CUST_03355,TXN_000283,10.13,wallet,success,,3,4,2,55,False,,False,0.0
CUST_02454,TXN_000284,120.67,card,success,,2,6,2,215,False,,False,0.0
CUST_02206,TXN_000285,38.15,wallet,success,,1,8,0,592,False,,False,0.0
CUST_04689,TXN_000286,16.05,netbanking,success,,1,10,0,1128,False,,False,0.0
CUST_00805,TXN_000287,18.94,card,success,,1,3,1,666,False,,False,0.0
CUST_02859,TXN_000288,7.3,upi,success,,1,10,2,634,False,,False,0.0
CUST_02711,TXN_000289,13.74,card,success,,3,7,1,222,False,,False,0.0
CUST_02367,TXN_000290,74.67,upi,success,,2,5,2,288,False,,False,0.0
CUST_04038,TXN_000291,197.44,wallet,failed,card_declined,1,8,2,911,True,retry_payment,True,197.44
CUST_01335,TXN_000292,59.21,card,success,,2,4,1,1136,False,,False,0.0
CUST_04768,TXN_000293,30.76,upi,success,,2,8,0,1299,False,,False,0.0
CUST_01658,TXN_000294,23.44,card,success,,1,8,2,16,False,,False,0.0
CUST_02725,TXN_000295,15.41,upi,success,,3,9,1,443,False,,False,0.0
CUST_02603,TXN_000296,172.05,netbanking,success,,2,7,0,133,False,,False,0.0
CUST_04249,TXN_000297,28.47,card,success,,2,8,1,417,False,,False,0.0
CUST_02195,TXN_000298,179.92,upi,success,,2,13,4,527,False,,False,0.0
CUST_01423,TXN_000299,100.97,card,success,,3,11,1,901,False,,False,0.0
CUST_00109,TXN_000300,8.23,upi,success,,3,9,1,712,False,,False,0.0
CUST_01819,TXN_000301,19.44,upi,success,,1,7,2,1283,False,,False,0.0
CUST_04131,TXN_000302,19.39,upi,success,,3,8,1,779,False,,False,0.0
CUST_00050,TXN_000303,31.07,card,success,,1,9,2,231,False,,False,0.0
CUST_04480,TXN_000304,31.56,upi,success,,1,6,2,1154,False,,False,0.0
CUST_02714,TXN_000305,363.94,upi,success,,2,10,2,401,False,,False,0.0
CUST_00702,TXN_000306,13.99,upi,success,,2,6,1,1364,False,,False,0.0
CUST_01511,TXN_000307,39.77,upi,success,,2,10,0,282,False,,False,0.0
CUST_02770,TXN_000308,54.23,netbanking,success,,1,6,0,1479,False,,False,0.0
CUST_01579,TXN_000309,33.07,card,success,,2,10,0,1463,False,,False,0.0
CUST_00543,TXN_000310,36.17,card,success,,2,8,3,1317,False,,False,0.0
CUST_03330,TXN_000311,14.36,wallet,success,,1,3,2,542,False,,False,0.0
CUST_03361,TXN_000312,36.06,card,success,,2,10,2,521,False,,False,0.0
CUST_00595,TXN_000313,49.86,wallet,success,,1,11,0,744,False,,False,0.0
CUST_01406,TXN_000314,43.04,upi,success,,3,7,2,363,False,,False,0.0
CUST_01220,TXN_000315,52.26,wallet,success,,3,4,2,429,False,,False,0.0
CUST_03297,TXN_000316,102.52,upi,success,,2,4,4,399,False,,False,0.0
CUST_03651,TXN_000317,70.08,netbanking,success,,1,13,3,1356,False,,False,0.0
CUST_03635,TXN_000318,35.06,upi,success,,3,14,1,951,False,,False,0.0
CUST_04693,TXN_000319,12.97,upi,success,,2,10,5,97,False,,False,0.0
CUST_03843,TXN_000320,20.49,card,success,,2,9,3,268,False,,False,0.0
CUST_01604,TXN_000321,27.78,card,success,,3,11,1,648,False,,False,0.0
CUST_00539,TXN_000322,40.52,card,success,,2,10,1,986,False,,False,0.0
CUST_03073,TXN_000323,22.59,wallet,success,,3,8,3,634,False,,False,0.0
CUST_04580,TXN_000324,15.66,card,success,,1,7,1,297,False,,False,0.0
